ORDEMBD,REFERENCE,STUDY_AIM,DATA_TYPE,SPECIES,GENUS,FAMILY,ORDER,IUCN_STATUS,SP_ORIGIN,SITE,AREA_HA,MUNICIPALITY,STATE,COUNTRY,LONG_X,LAT_Y,PRECISION,UC,VEG_TYPE,Annual_rainfall,Annual_temperature,Altitude,Olsoneconame,OlsonG200r,METHOD,N_POINTS,D_POINTS,LTR_EFF,LTR_ABD_10KM,CAM_EFF,CAM_ABD,SURV_EFF,SURV_ABD,COL_STRT_YR,COL_STRT_MO,COL_END_YR,COL_END_MO
MOEC_00272,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.172109,-19.492955, 10m,NA,Grassland,1330,27.60000038,109,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,51,1,NA,NA,2012,March,2017,September
MOEC_00273,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.172109,-19.492955, 10m,NA,Grassland,1330,27.60000038,109,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,51,0,NA,NA,2012,March,2017,September
MOEC_00274,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.172109,-19.492955, 10m,NA,Grassland,1330,27.60000038,109,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,51,2,NA,NA,2012,March,2017,September
MOEC_00275,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.172109,-19.492955, 10m,NA,Grassland,1330,27.60000038,109,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,51,0,NA,NA,2012,March,2017,September
MOEC_00276,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.123316,-19.594325, 10m,NA,Gallery/riparian/Swamp vegetation,1341,27.5,120,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,7,0,NA,NA,2012,March,2017,September
MOEC_00277,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.123316,-19.594325, 10m,NA,Gallery/riparian/Swamp vegetation,1341,27.5,120,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,7,0,NA,NA,2012,March,2017,September
MOEC_00278,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.123316,-19.594325, 10m,NA,Gallery/riparian/Swamp vegetation,1341,27.5,120,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,7,0,NA,NA,2012,March,2017,September
MOEC_00279,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.123316,-19.594325, 10m,NA,Gallery/riparian/Swamp vegetation,1341,27.5,120,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,7,0,NA,NA,2012,March,2017,September
MOEC_00280,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.123316,-19.594325, 10m,NA,Gallery/riparian/Swamp vegetation,1341,27.5,120,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,7,0,NA,NA,2012,March,2017,September
MOEC_00281,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.11345,-19.566064, 10m,NA,Acuri forest,1341,27.5,112,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,30,2,NA,NA,2012,March,2017,September
